Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
GDP (current US$),NY.GDP.MKTP.CD,Australia,AUS,311326664101.578,415576210513.094,1546508558465.66,1576335282651.07,1467504819608.92,1350534154255.76,1206685107002.47,1326882872011.46,1428529571351.06,1391952510370.48,1327836171068.51,1542659899992.54
GDP (current US$),NY.GDP.MKTP.CD,Austria,AUT,166463386179.354,197289625479.906,409401816050.531,430190979705.962,442584815286.034,381971148530.543,395837353031.499,417261151844.977,455168151938.941,445011872704.47,433258467676.515,477082467454.295
GDP (current US$),NY.GDP.MKTP.CD,Azerbaijan,AZE,8858006035.91566,5272798390.70183,69683935845.2139,74164435946.4627,75244294275.1498,53074370486.0433,37867518957.1975,40865558912.3867,47112941176.4706,48174235294.1176,42693000000,54622176470.5882
GDP (current US$),NY.GDP.MKTP.CD,"Bahamas, The",BHS,3166000000,8076470000,10720500000,10562800000,11176100000,11861900000,11834600000,12357600000,12755800000,13192800000,9699500000,11208600000
GDP (current US$),NY.GDP.MKTP.CD,Bahrain,BHR,4229787234.04255,9062898936.17021,30749308510.6383,32539468085.1064,33387712765.9574,31050638297.8723,32234973404.2553,35473776595.7447,37802005319.1489,38653318085.1064,34723357446.8085,38868663031.9149
GDP (current US$),NY.GDP.MKTP.CD,Bangladesh,BGD,31598341233.463,53369787318.6245,133355749482.478,149990451022.29,172885454931.453,195078678697.23,265236247989.155,293754646182.389,321379023557.462,351238438542.792,373902134700.41,416264942893.326
GDP (current US$),NY.GDP.MKTP.CD,Barbados,BRB,2012131457.26644,3059500000,4610095997.77104,4677248301.89959,4696344341.64326,4724691212.50593,4832811755.56467,4981588899.82409,5097283213.13965,5304164323.2532,4689534961.75956,4900800000
GDP (current US$),NY.GDP.MKTP.CD,Belarus,BLR,21650000000,12736856827.9847,65685102554.8759,75527984234.2342,78813839984.3506,56454734396.5842,47722657820.6675,54726595249.1849,60031262269.3365,64409647193.8044,61489588894.8211,68218816484.1226
GDP (current US$),NY.GDP.MKTP.CD,Belgium,BEL,205331747947.851,236792460312.471,496152879924.727,521791015247.06,535390200131.018,462335574841.484,476062757356.927,502764720556.354,543347368038.353,535376258146.666,521676942134.632,599879025377.51
GDP (current US$),NY.GDP.MKTP.CD,Belize,BLZ,412086445.49,832072450,1531348953.18392,1581844936.42351,1676406801.54095,1734320479.1395,1796928936.71505,1844906692.53913,1887465218.48204,1945250235.57603,1585631670.3461,1789923264.03
GDP (current US$),NY.GDP.MKTP.CD,Benin,BEN,1959965243.76269,3519991326.48464,11141358945.1349,12517845732.2095,13284528654.0574,11388160958.249,11821066152.5979,12701654743.2149,14262407011.4764,14391686632.7821,15651545331.5404,17785640079.1191
GDP (current US$),NY.GDP.MKTP.CD,Bermuda,BMU,1592400000,3480219000,6378188000,6465756000,6413988000,6654541000,6899911000,7142316000,7225977000,7423465000,6881662000,7080900000
GDP (current US$),NY.GDP.MKTP.CD,Bhutan,BTN,287658184.003427,424464089.897641,1781281281.57912,1756215665.09323,1907090813.45906,2003598212.99135,2158972129.00307,2450364928.07302,2446866404.93058,2535657069.05537,2315436303.29988,..
GDP (current US$),NY.GDP.MKTP.CD,Bolivia,BOL,4867582597.52327,8397912525.26886,27084497481.9103,30659338885.6729,32996188017.3661,33000198248.9146,33941126193.9219,37508642170.767,40287647930.5355,40895322850.9407,36629843806.0781,40408208523.8784
GDP (current US$),NY.GDP.MKTP.CD,Bosnia and Herzegovina,BIH,..,5567405605.27555,17221192487.0296,18172335776.3301,18560861397.5577,16219819343.5214,16914287593.2899,18079076426.8667,20177422311.0773,20201323282.5451,19955120004.6604,22571512867.2816
GDP (current US$),NY.GDP.MKTP.CD,Botswana,BWA,3790567051.86778,5788329609.15755,14380004175.1194,14901750991.2012,15654660710.108,13578754072.4652,15082578064.8002,16088437675.1648,16914245098.0392,16695925027.1944,14930072799.0084,17613846472.9916
GDP (current US$),NY.GDP.MKTP.CD,Brazil,BRA,390725626002.866,655448188259.351,2465228293894.01,2472819362216.69,2456043766028.73,1802211999538.68,1795693265810.23,2063514688761.98,1916933708381.89,1873288158977.23,1448565936739.56,1608981220812.2
GDP (current US$),NY.GDP.MKTP.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Brunei Darussalam,BRN,3520551724.13793,6001153306.2645,19047940300.8963,18093829923.2737,17098342541.4365,12930394937.8137,11400854267.7188,12128104859.1498,13567351175.0315,13469422958.5105,12005825769.5087,14006569575.68
GDP (current US$),NY.GDP.MKTP.CD,Bulgaria,BGR,20632090909.0909,13245833843.5454,54300857424.4415,55810138436.4821,57082011260.3446,50781996712.7635,53953897624.4344,59199447421.4924,66363422450.2112,68915416141.9576,69889347433.4324,80271119426.1076
